age,industry,title,context,salary,benefits,currency,currency-other,income_context,country,us_state,city,exp_total,exp_field,education,gender,race,,,
55-64,Government and Public Administration,Executive Assistant ,,81455,0,USD,,Public Administration has amazing benefits ,US,Oregon,Xxxx,21 - 30 years,1 year or less,Master's degree,Woman,"Hispanic, Latino, or Spanish origin",,,
25-34,"Accounting, Banking & Finance",Cost Analyst,Operations Researcher for DoD,"89,000",500,USD,,,United States,Alabama,Huntsville,2 - 4 years,2 - 4 years,College degree,Man,White,,,
25-34,Business or Consulting,Area Manager,Stormwater consulting (environmental compliance) for construction industry,45000,10000,USD,,Bonus structure is brand new this year instead of raise,USA,Florida,Tampa Bay region,5-7 years,5-7 years,College degree,Woman,White,,,
25-34,Computing or Tech,Research scientist,,"75,000",NA,GBP,,,UK,,Cambridge,2 - 4 years,2 - 4 years,PhD,Woman,White,,,
18-24,Nonprofits,Secretary,,"31,000",NA,USD,,,United States,New Jersey,Basking Ridge,1 year or less,1 year or less,College degree,Non-binary,Asian or Asian American,,,
45-54,Government and Public Administration,Senior  director of information technology,,"135,000",2000,USD,,,United States,Pennsylvania,Philadelphia,21 - 30 years,21 - 30 years,College degree,Man,White,,,
35-44,Computing or Tech,Senior software engineer ,,150000,NA,USD,,,USA ,Ohio,Columbus ,11 - 20 years,11 - 20 years,College degree,Man,Asian or Asian American,,,
18-24,Nonprofits,Customer Care Advisor,,29700,0,USD,,,United States of America,Iowa,Iowa City,8 - 10 years,2 - 4 years,College degree,Non-binary,White,,,
35-44,Recruitment or HR,"Director, HR",,"80,000",30000,USD,,,United States,Texas,Dallas,11 - 20 years,8 - 10 years,College degree,Woman,White,,,
25-34,Nonprofits,Development Assistant,Administrative Assistant for fundraisers in Development department,"38,300",0,USD,,,USA,Kansas,Lawrence,2 - 4 years,2 - 4 years,College degree,Woman,White,,,
35-44,Computing or Tech,Engineering Manager,,"210,000",70000,USD,,,United States,,New York City,11 - 20 years,11 - 20 years,Some college,Man,Asian or Asian American,,,
35-44,Computing or Tech,IT Security Analyst ,,"96,000",NA,USD,,,USA,Arkansas,Little Rock,11 - 20 years,8 - 10 years,College degree,Woman,White,,,
25-34,Education (Higher Education),Accounting Manager,,"66,050",NA,USD,,,United States,Idaho,Boise,8 - 10 years,5-7 years,College degree,Woman,White,,,
25-34,Nonprofits,Social Worker ,Care Management ,56000,0,USD,,,USA,New York,New York,8 - 10 years,5-7 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin",,,
25-34,Property or Construction,Office Manager/PA to CEO,,80000,20000,GBP,,,United Kingdom,,London,8 - 10 years,2 - 4 years,High School,Woman,White,,,
25-34,Computing or Tech,Production Manager/Project Manager,,"438,000",NA,SEK,,,Sweden,,Gothenburg,8 - 10 years,5-7 years,College degree,Woman,White,,,
25-34,Media & Digital,Senior sub-editor,,30000,NA,GBP,,,England ,,London ,2 - 4 years,2 - 4 years,College degree,Woman,White,,,
35-44,Computing or Tech,AVP of Software Development,,"120,000",30000,USD,,,United States,Illinois,Chicago,11 - 20 years,11 - 20 years,College degree,Man,White,,,
25-34,"Marketing, Advertising & PR",Senior Marketing Manager,,"65,000",600,USD,,,Uniteed States,Texas,Dallas,8 - 10 years,5-7 years,Master's degree,Woman,White,,,
45-54,Hospitality & Events,Retail Manager,Attractions,50000,4000,USD,,,USA,Washington,Seattle,21 - 30 years,8 - 10 years,Master's degree,Woman,White,,,
35-44,Education (Higher Education),Assistant Professor ,School of Medicine,90000,20000,USD,,,United States,North Carolina,Winston-Salem,11 - 20 years,11 - 20 years,PhD,Woman,White,,,
45-54,Education (Higher Education),"Director, Change Management and Business Analysis Strategies",,136000,0,USD,,,USA,California,Irvine,21 - 30 years,21 - 30 years,Master's degree,Non-binary,White,,,
25-34,Health care,Chiropractic Assistant,,"29,120",0,USD,,,United States,North Dakota,Fargo,8 - 10 years,2 - 4 years,Some college,Woman,White,,,
35-44,Law,HR Manager,,"132,500",12000,USD,,,United States,New York,New York,11 - 20 years,11 - 20 years,Master's degree,Woman,White,,,
25-34,Administration in MLM,Director,,42000,2000,USD,,,United States,California,Ontario,8 - 10 years,5-7 years,Some college,Woman,"Hispanic, Latino, or Spanish origin",,,
35-44,Engineering or Manufacturing,Compliance Senior Analyst,,"534,300",63800,Other,Mexican pesos,,Mexico,,Mexico City,11 - 20 years,8 - 10 years,College degree,Woman,"Hispanic, Latino, or Spanish origin",,,
35-44,Computing or Tech,Account Operations Professional,,"56,300",1000,USD,,,USA,Kentucky,Louisville,11 - 20 years,11 - 20 years,College degree,Woman,White,,,
25-34,Media & Digital,Senior Editor,I work for a small entertainment trade magazine that has a different business model than ad supported publications.,"76,000",5000,USD,,bonuses change but mine tends to always be somewhere around what I listed.,USA,New York,New York City,8 - 10 years,8 - 10 years,College degree,Woman,White,,,
35-44,Education (Higher Education),HR Specialist ,More of a generalist at this point (higher level) ,48960,0,USD,,,USA ,North Carolina,Raleigh ,11 - 20 years,5-7 years,Master's degree,Woman,Asian or Asian American,,,
45-54,Health care,Physician Assistant,,110000,30000,USD,,,USA,North Carolina,Huntersville,11 - 20 years,1 year or less,Master's degree,Man,White,,,
25-34,Education (Higher Education),Administrative Assistant,,45000,0,USD,,,United States,Massachusetts,Boston,2 - 4 years,2 - 4 years,College degree,Woman,White,,,
45-54,Health care,Executive Assistant,,"83,500",5000,AUD/NZD,,"5000 is salary packaging benefit (NFP), income figure does not include superannuation ",Australia ,,Mellbourne ,21 - 30 years,11 - 20 years,Some college,Woman,White,,,
35-44,Computing or Tech,Principal Recruiter,manager level individual contributor,"115,500",13035,USD,,,United States,Colorado,Colorado Springs,11 - 20 years,11 - 20 years,Master's degree,Woman,White,,,
25-34,Nonprofits,Senior Policy Analyst,I work for a nonprofit health advocacy organization - this role is pretty standard in that field,"68,958",0,USD,,,USA,District of Columbia,"Washington, DC",8 - 10 years,8 - 10 years,Master's degree,Woman,White,,,
45-54,public library,branch manager,,"58,000",0,USD,,,USA,New Jersey,Rural,21 - 30 years,21 - 30 years,Master's degree,Woman,White,,,
45-54,Art & Design,Senior Creative Designer,"graphic designer at private country club. 75% print (newsletters, posters, signs), 25% digital (graphics for social media, digital signage)","59,000",500,USD,,,USA,Florida,Delray Beach,21 - 30 years,21 - 30 years,College degree,Other or prefer not to answer,Another option not listed here or prefer not to answer,,,
18-24,Engineering or Manufacturing,Warehouse analyst,,"74,000",2000,USD,,,Usa,Texas,Na,2 - 4 years,5-7 years,College degree,Woman,Middle Eastern or Northern African,,,
25-34,Computing or Tech,QA Assistant Manager,,"52,000",1000,USD,,,USA,California,Mountain View,5-7 years,2 - 4 years,College degree,Woman,Asian or Asian American,,,
18-24,Computing or Tech,Product Marketer,,0,0,USD,,Start up without funding. Compensation is in stocks. ,United States,California,Santa Clara,1 year or less,1 year or less,College degree,Man,Asian or Asian American,,,
18-24,Engineering or Manufacturing,Administrative Assistant ,AA to Vice President of Operations and Technology ,"40,000",NA,USD,,,United States ,Wisconsin,Janesville ,1 year or less,1 year or less,College degree,Woman,White,,,
25-34,Law,Assistant Attorney General,,"93,000",0,USD,,,USA,Michigan,"Detroit, MI",8 - 10 years,8 - 10 years,PhD,Woman,White,,,
25-34,Insurance,QA,IT quality assurance,"100,000",20000,Other,MYR,,Malaysia,,Kuala lumpur,11 - 20 years,11 - 20 years,College degree,Woman,Asian or Asian American,,,
25-34,Health care,Regulatory Specialist,,"58,635",NA,USD,,,United States,Kentucky,Lexington,2 - 4 years,2 - 4 years,College degree,Woman,Asian or Asian American,,,
25-34,Nonprofits,Project coordinator ,,"53,000",0,CAD,,,Canada,,Toronto,5-7 years,5-7 years,College degree,Woman,White,,,
25-34,Property or Construction,Electrician apprentice ,,35000,1000,USD,,,USA,Utah,Salt lake,2 - 4 years,5-7 years,Some college,Man,White,,,
18-24,Education (Higher Education),Graduate Student,Specializing in immunology ,"41,050",0,USD,,"As a grad student at NIH, my salary is directly determined by a standard formula accounting for initial amount of experience + # of years worked (no negotiation, and annual pre-set raises). Table can be found here: https://www.training.nih.gov/predoctoral_irta_stipend_levels 
It’s also an appointment explicitly designed to end w/in 5 years and result in a terminal degree (PhD). ",US,Maryland,Bethesda,2 - 4 years,2 - 4 years,College degree,Woman,White,,,
35-44,Government and Public Administration,Administrative justice ,,135000,0,CAD,,,Canada,,Edmonton,11 - 20 years,8 - 10 years,College degree,Woman,White,,,
35-44,Law,Senior Staff Attorney ,Public interest non-profit lawyer,"65,000",0,USD,,,USA ,Michigan,"Lansing, MI",11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,White,,,
35-44,Education (Higher Education),rofessor,,"80,000",NA,EUR,,,Germany,,Lemgo,11 - 20 years,11 - 20 years,PhD,Man,White,,,
35-44,Government and Public Administration,Program Analyst,,117000,0,USD,,,U.S.,Virginia,Quantico ,11 - 20 years,8 - 10 years,Master's degree,Woman,White,,,
25-34,Computing or Tech,Staff Data Scientist,,"169,000",16900,USD,,,USA,California,San Francisco,5-7 years,5-7 years,PhD,Woman,White,,,
45-54,Nonprofits,Information and Systems Officer ,Dealing with IT and data protection,"42,600",NA,GBP,,,UK,,London,21 - 30 years,8 - 10 years,PhD,Woman,White,,,
25-34,Hospitality & Events,Barista,,"31,200",520,CAD,,"I actually only work part-time (20-23/h a week) so I make about half of what I entered for yearly salary, & the extra is untaxed tips. ",Canada,,"Victoria, BC",11 - 20 years,11 - 20 years,High School,Non-binary,White,,,
35-44,Computing or Tech,Information Architect,Technical Writing background,"103,000",40000,USD,,Quarterly bonuses based on company profit,United States,North Carolina,Raleigh,8 - 10 years,8 - 10 years,Master's degree,Woman,White,,,
25-34,Health care,Staff Pharmacist Manager,Manage team of 20 pharmacists for a specialty mail order pharmacy,"138,000",15000,USD,,,United States,Indiana,Indianapolis,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,White,,,
25-34,Health care,Histology technician ,Laboratory ,70000,NA,USD,,Before tax,United States ,Texas,Houston,8 - 10 years,8 - 10 years,College degree,Woman,White,,,
35-44,Computing or Tech,Scrum Master,Think team and organization process coach,"127,000",6400,USD,,,USA,Ohio,Columbus,21 - 30 years,11 - 20 years,College degree,Woman,Black or African American,,,
25-34,Veterinary,Medical Clinic Director,Veterinary technician managing the medical program for the local humane society,"47,000",NA,USD,,,United States,Vermont,South Burlington,11 - 20 years,11 - 20 years,College degree,Woman,White,,,
25-34,Education (Higher Education),PhD Student,,"16,000",NA,GBP,,,UK,,Manchester,2 - 4 years,5-7 years,Master's degree,Woman,White,,,
35-44,Education (Higher Education),Program Operations Specialist ,My role is Program & Events Manager at a humanities center,63000,0,USD,,,USA,Washington,Seattle,8 - 10 years,2 - 4 years,PhD,Woman,White,,,
25-34,Transport or Logistics,Administration ,"Fleet manager, csr, admin, depot management, intermodal","55,000",0,USD,,,Usa,Tennessee,Kingsport,5-7 years,5-7 years,High School,Woman,White,,,
55-64,Insurance,Commercial Lines Account Manager ,,"64,200",0,USD,,,US,Massachusetts,Georgetown ,31 - 40 years,31 - 40 years,Some college,Woman,White,,,
25-34,Nonprofits,Systems Librarian,,54000,NA,USD,,Full-time at 35hrs/week,United States,New York,"Rochester, NY",8 - 10 years,2 - 4 years,Master's degree,Man,White,,,
45-54,Computing or Tech,Front-End Developer,,"135,000",NA,USD,,,United States,Massachusetts,Andover,21 - 30 years,21 - 30 years,Some college,Man,White,,,
25-34,Sales,Account manager,Fintech software sales,"117,500",6000,USD,,,Usa ,New York,Nyc ,8 - 10 years,8 - 10 years,College degree,Woman,Asian or Asian American,,,
55-64,Recruitment or HR,HR Manager,,"152,000",NA,USD,,,USA,Texas,Katy,21 - 30 years,21 - 30 years,College degree,Woman,White,,,
25-34,Business or Consulting,Associate director ,Marketint,"83,000",6000,USD,,,United States ,District of Columbia,Washington ,2 - 4 years,2 - 4 years,College degree,Woman,White,,,
,,,,,NA,,,,,,,,,,,,,,
45-54,Engineering or Manufacturing,HR Director,,"107,000",7000,USD,,,USA,New York,Albany,21 - 30 years,11 - 20 years,College degree,Woman,White,,,
35-44,Education (Higher Education),Director of Enrollment Management,Responsible for the admissions and enrollment of graduate students at a university,"110,000",NA,USD,,,USA,Rhode Island,Providence,11 - 20 years,11 - 20 years,Master's degree,Woman,Asian or Asian American,,,
45-54,"Accounting, Banking & Finance",Director of Operations,,136750,20000,USD,,,United States,Oregon,Portland,31 - 40 years,21 - 30 years,College degree,Man,White,,,
18-24,Science/Research (Academia),Graduate Research Assistant,,"38,784",0,USD,,,United States,Washington,Seattle,2 - 4 years,2 - 4 years,College degree,Woman,White,,,
45-54,Nonprofits,Office Manager,,57000,NA,USD,,,united states,Washington,Redmond,21 - 30 years,11 - 20 years,College degree,Woman,White,,,
35-44,"Leisure, Sport & Tourism",Payroll Specialist ,Includes benefits administration ,46800,2500,USD,,,USA ,Connecticut,Guilford ,21 - 30 years,8 - 10 years,College degree,Woman,White,,,
45-54,"Accounting, Banking & Finance",Project manager,,"178,000",30000,USD,,,United States,Maryland,Baltimore,31 - 40 years,31 - 40 years,Master's degree,,White,,,
35-44,Computing or Tech,General Manager,,320000,700000,USD,,,United States,California,San Francisco,21 - 30 years,21 - 30 years,"Professional degree (MD, JD, etc.)",Man,White,,,
25-34,Health care,Supply chain manager ,,130000,0,USD,,,USA ,Illinois,Chicago,8 - 10 years,2 - 4 years,College degree,Woman,White,,,
25-34,Education (Primary/Secondary),Library Media Specialist,,"47,094",NA,USD,,,United States,Wisconsin,Eau Claire,8 - 10 years,8 - 10 years,College degree,Woman,White,,,
25-34,Health care,Registered Nurse,,"67,900",NA,USD,,,United States,Minnesota,Minneapolis,11 - 20 years,2 - 4 years,College degree,Woman,White,,,
35-44,Property or Construction,VP of Development ,Construction Development. Not fundraising ,"175,000",1000,USD,,Bonuses related to individual projects not included. ,USA,New Jersey,"Newark, NJ ",8 - 10 years,8 - 10 years,Master's degree,Woman,White,,,
35-44,Education (Primary/Secondary),Teacher,"High school, English",75000,NA,USD,,,U.S.,Ohio,Hudson,11 - 20 years,11 - 20 years,Master's degree,Woman,White,,,
35-44,Media & Digital,Associate Magazine Editor,Midlevel writer/editor for scientific association (nonprofit) magazine.,"56,000",1000,USD,,"I know my pay is very low, but the benefits are great and the workplace is flexible. (100% employer paid healthcare, 4+ weeks vacation, 11 paid holidays, 10 sick days, 403b contributions)",United States,District of Columbia,"Washington, DC",11 - 20 years,8 - 10 years,Master's degree,Woman,White,,,
25-34,Libraries and Archives,Processing Coordinator,,"39,000",0,USD,,,United States,Virginia,Fairfax,5-7 years,5-7 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin, White",,,
35-44,Government and Public Administration,Science and technology policy analyst,Strategic and policy advice and support to senior exec,"80,000",800,CAD,,,Canada,,Ottawa,11 - 20 years,11 - 20 years,Master's degree,Woman,"Black or African American, Middle Eastern or Northern African, White",,,
25-34,Business or Consulting,Sr. Implementation manager,,"155,000",0,USD,,,United States,Wisconsin,Remote,5-7 years,5-7 years,College degree,Woman,White,,,
25-34,Social Work,Clinical Social Worker,,"50,000",NA,USD,,,US,Virginia,Staunton,5-7 years,2 - 4 years,Master's degree,Woman,White,,,
25-34,Computing or Tech,Senior Consultant ,Technical Consultant ,"140,000",10000,USD,,,United States of America ,District of Columbia,Washington ,8 - 10 years,8 - 10 years,Master's degree,Woman,White,,,
25-34,Education (Primary/Secondary),Head of Year/Teacher,,"48,000",0,GBP,,,UK,,London,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Man,White,,,
35-44,Law Enforcement & Security,Detective,,"84,200",5000,USD,,"My overtime is widely variable (I already have over 300 hours this year), but I have bonuses to my base pay for my education and certification level, which is maxed out for my job. I also get bonus pay when I'm acting supervisor, although this is ironically the smallest bonus I receive.",USA,Texas,Richardson,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,White,,,
25-34,Government and Public Administration,Keyboarding Clerk 1,,"45,427",0,USD,,,United States,New Jersey,Bergen County,5-7 years,5-7 years,College degree,Woman,White,,,
45-54,Computing or Tech,Founder,,0,0,USD,,,United States,California,San Jose,21 - 30 years,21 - 30 years,Some college,Woman,White,,,
25-34,Retail,General Manager,,71000,10000,USD,,,United States,Minnesota,Minneapolis,8 - 10 years,8 - 10 years,Some college,Woman,White,,,
45-54,Government and Public Administration,Planning & Development Director,,"89,980",0,USD,,,United States,Texas,Dallas/Fort Worth region,11 - 20 years,11 - 20 years,Master's degree,Woman,White,,,
45-54,Education (Primary/Secondary),Head of School,Private School (Headmaster),210000,20000,USD,,,US,Virginia,Richmond,21 - 30 years,21 - 30 years,Master's degree,Man,White,,,
35-44,Education (Higher Education),Development coordinator,,119000,0,AUD/NZD,,,Australia,,Sydney,11 - 20 years,5-7 years,PhD,Woman,White,,,
45-54,Utilities & Telecommunications,"Manager, Accounts Payable",,"90,000",11000,USD,,,United States,Iowa,Des Moines,11 - 20 years,8 - 10 years,College degree,Woman,White,,,
25-34,Health care,Communications,,"110,000",10000,USD,,,USA,Connecticut,Remote,8 - 10 years,8 - 10 years,Master's degree,Woman,White,,,
25-34,Oil & Gas,Tax Specialist,,"80,000",20000,USD,,,USA,Pennsylvania,Pittsburgh,8 - 10 years,5-7 years,College degree,Woman,"Black or African American, White",,,
25-34,Computing or Tech,Software Engineer II,,154000,0,USD,,,United States of America,California,San Francisco,2 - 4 years,2 - 4 years,Some college,Man,Asian or Asian American,,,
35-44,Business or Consulting,Senior Consultant,Consultant in sustainability,"41,000",4000,GBP,,,United Kingdom (England),,Oxford,11 - 20 years,5-7 years,Master's degree,Woman,White,,,
35-44,Government and Public Administration,Senior Planner,,64000,0,USD,,,USA,Pennsylvania,PIttsburgh,11 - 20 years,11 - 20 years,Master's degree,Woman,White,,,
25-34,Education (Higher Education),PhD Student,,"40,000",0,USD,,,United States,Indiana,South Bend,2 - 4 years,2 - 4 years,Master's degree,Woman,White,,,
25-34,Computing or Tech,Staff Engineer,,"175,000",299000,USD,,,USA ,"Georgia, Massachusetts","Columbus, Boston",11 - 20 years,11 - 20 years,High School,Man,White,,,
35-44,Computing or Tech,Principal Engineer,,"165,000",5000,USD,,,USA,Colorado,Boulder,21 - 30 years,21 - 30 years,PhD,Man,Another option not listed here or prefer not to answer,,,
55-64,Education (Primary/Secondary),school psychologist,,92000,0,USD,,,United States,California,Lake Elsinor,11 - 20 years,11 - 20 years,Master's degree,Woman,White,,,
25-34,Computing or Tech,Contracts Manager ,,"80,000",20000,USD,,,USA,Texas,Austin ,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,White,,,
55-64,"Marketing, Advertising & PR",Marketing Manager,privately-held company,"95,000",0,USD,,,U.S.A.,Washington,Seattle,31 - 40 years,11 - 20 years,Master's degree,Man,White,,,
25-34,Computing or Tech,Product designer,,"90,000",NA,CAD,,,Canada,,Montreal,2 - 4 years,2 - 4 years,College degree,Woman,White,,,
35-44,Nonprofits,Administrative assistant ,,"45,000",500,USD,,,USA,Georgia,Gainesville,11 - 20 years,11 - 20 years,College degree,Woman,White,,,
25-34,Computing or Tech,Security Researcher,,"70,000",NA,USD,,,USA,Georgia,Atlanta,8 - 10 years,2 - 4 years,College degree,Non-binary,White,,,
25-34,"Accounting, Banking & Finance",Tax Accountant,,60000,NA,USD,,,United States,Alabama,Birmingham,2 - 4 years,2 - 4 years,Master's degree,Woman,White,,,
35-44,Government and Public Administration,Senior Investigator ,"Financial Regulation - not police but still \law enforcement\""""","105,000",20000,CAD,,"10,000 is payments to a defined benefit pension plan ",Canada,,Toronto,8 - 10 years,8 - 10 years,Master's degree,Woman,White,,,
35-44,Health care,Physical Therapist,,"96,428",NA,USD,,,United States,Wisconsin,Franklin,11 - 20 years,11 - 20 years,,Man,"Black or African American, White",,,
25-34,Nonprofits,Event Planner,,"53,560",NA,USD,,,United States,Washington,Seattle,2 - 4 years,2 - 4 years,College degree,Woman,White,,,
35-44,Education (Higher Education),Assistant Professor,,"135,000",12000,USD,,,United States,New York,New York City,11 - 20 years,11 - 20 years,PhD,Woman,"Hispanic, Latino, or Spanish origin",,,
25-34,"Marketing, Advertising & PR",Public Affairs Officer ,I’m a government civilian (not a contractor),"110,000",10000,USD,,"I’m a DE civilian, which offers bonuses and more payment flexibility than traditional government work because I work at a scientific agency",US,Maryland,Fort Meade,11 - 20 years,11 - 20 years,College degree,Woman,White,,,
35-44,Business or Consulting,Product Manager,,"92,000",NA,EUR,,,Netherlands,,Amsterdam,11 - 20 years,11 - 20 years,Master's degree,Man,White,,,
35-44,Health care,Facility Manager,Hospital research facility,"83,000",0,USD,,,USA,Massachusetts,Boston,11 - 20 years,11 - 20 years,College degree,Woman,White,,,
25-34,Utilities & Telecommunications,Senior Program Manager,,95000,15000,USD,,,USA,Massachusetts,Boston,8 - 10 years,8 - 10 years,Master's degree,Woman,White,,,
18-24,Property or Construction,Assistant Property Manager ,,"31,680",2000,USD,,,US,Oregon,Eugene,5-7 years,2 - 4 years,Some college,Woman,White,,,
18-24,Computing or Tech,Cyber Security Lead,,"48,000",0,GBP,,,United Kingdom,,Manchester,5-7 years,5-7 years,High School,Man,White,,,
35-44,Computing or Tech,Engineering Manager,,57000,1500,GBP,,,United Kingdom,,Bristol,11 - 20 years,11 - 20 years,College degree,Man,White,,,
25-34,Computing or Tech,Sr. Software Developer,,"150,000",0,USD,,,United States,Washington,Seattle,5-7 years,5-7 years,College degree,Non-binary,White,,,
18-24,Computing or Tech,Software Developer,,30000,1000,GBP,,,United Kingdom,,Leeds,2 - 4 years,2 - 4 years,College degree,Man,White,,,
45-54,Computing or Tech,Sr Software Engineer ,,157000,90000,CAD,,,Canada ,,Vancouver ,11 - 20 years,11 - 20 years,College degree,Man,"Hispanic, Latino, or Spanish origin, White",,,
25-34,Business or Consulting,Client Services Manager,,"72,500",NA,USD,,,USA,North Carolina,Chapel Hill,8 - 10 years,5-7 years,College degree,Woman,White,,,
25-34,Nonprofits,Policy Counsel,,85000,0,USD,,"I’m a lawyer, so well paid as my org goes ",United States,New York,New York ,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,Asian or Asian American,,,
35-44,Education (Higher Education),Librarian,,"91,000",NA,AUD/NZD,,,Australia,,"Sydney, Australia",11 - 20 years,11 - 20 years,College degree,Man,White,,,
25-34,Business or Consulting,Program Manager,,"75,000",2000,USD,,,USA,Illinois,Chicago,11 - 20 years,11 - 20 years,College degree,Woman,White,,,
35-44,Law,Paralegal,,"65,000",NA,USD,,,U.S.,California,Orange County Area,11 - 20 years,1 year or less,College degree,Woman,White,,,
25-34,Computing or Tech,Recruiting operations specialist ,"Talent acquisition operations for a 4000+ person company. (think process and coordination of interviews, ats and other recruiting tool management, and new hire onboarding) ","90,000",20000,USD,,I received a new hire equity grant when I first joined and will continue to receive annual “refreshers”. The equity grant/refreshers are RSUs that vest in increments every month of service and fully vest over the next few years. I am eligible for a performance based bonus of up to 10% of my base. I am also non exempt and frequently work at least 8 hours of overtime a week.,USA ,New York,New York ,5-7 years,2 - 4 years,College degree,Woman,White,,,
35-44,Biotech,QA Specialist- Compliance and Quality,This is FDA Quality Compliance for clinical trials,73000,NA,USD,,,United States,California,San Francisco,21 - 30 years,11 - 20 years,College degree,Woman,White,,,
25-34,Utilities & Telecommunications,Operations manager,,80000,0,USD,,,United States,Kentucky,Louisville,8 - 10 years,2 - 4 years,Some college,Man,White,,,
25-34,Transport or Logistics,Technical Writer II,,54000,500,USD,,,USA,Texas,Dallas,2 - 4 years,2 - 4 years,College degree,Woman,White,,,
35-44,Law,Director,Attorney and director of large nonprofit program ,"70,000",0,USD,,,Us,Kentucky,Drop down menur was not working. Indianapolis Indiana. ,11 - 20 years,11 - 20 years,Master's degree,Woman,White,,,
25-34,Engineering or Manufacturing,Director of Intelligence,,"102,500",20000,USD,,,United States,Florida,Tampa,5-7 years,5-7 years,College degree,Man,"Hispanic, Latino, or Spanish origin",,,
25-34,Education (Higher Education),Project Manaager,,"100,000",0,USD,,,USA,California,San Francisco,11 - 20 years,8 - 10 years,College degree,Woman,White,,,
35-44,Entertainment,Marketing Automation Manager ,,576000,0,SEK,,,Sweden,,Stockholm,8 - 10 years,5-7 years,Master's degree,Man,White,,,
35-44,Government and Public Administration,City Research Scientist,Qualitative and Quantitative Research and Data Analysis,"86,000",0,USD,,,USA,New York,New York City,5-7 years,5-7 years,PhD,Woman,White,,,
45-54,Computing or Tech,Informatics Epidemiologist,,"99,500",NA,USD,,,U.S.,North Carolina,Charlotte,21 - 30 years,11 - 20 years,Master's degree,Woman,White,,,
35-44,"Marketing, Advertising & PR",Marketing Manager,,"95,000",8000,USD,,,USA,Minnesota,Minneapolis,11 - 20 years,8 - 10 years,College degree,Woman,White,,,
25-34,Insurance,Actuary,,"114,500",12000,USD,,,USA,Kansas,Overland Park,5-7 years,5-7 years,Master's degree,Woman,White,,,
25-34,Media & Digital,Publishing Programme Manager,,"42,000",NA,GBP,,12% bonus based on company performance/personal performance,England/UK,,Cambridge,8 - 10 years,8 - 10 years,College degree,Woman,White,,,
35-44,Education (Primary/Secondary),Director of Innovation,,150000,0,USD,,I also live rent-free on campus housing and my family and i have access to the dining hall three meals a day while school is in session.,USA,Connecticut,Pomfret,21 - 30 years,21 - 30 years,Master's degree,Woman,White,,,
25-34,"Marketing, Advertising & PR",Data scientist,,"97,500",8125,USD,,,USA,Florida,Lakeland,8 - 10 years,8 - 10 years,College degree,Man,White,,,
25-34,National laboratory,Senior Engineer A,,"115,000",NA,USD,,,USA,South Carolina,Aiken,5-7 years,5-7 years,PhD,Woman,White,,,
25-34,"Accounting, Banking & Finance",Relationship manager,,33000,4000,GBP,,,England,,Sussex,2 - 4 years,2 - 4 years,College degree,Woman,White,,,
25-34,Government and Public Administration,Admin Assistant ,,"50,821",NA,CAD,,,Canada,,Surrey BC,5-7 years,5-7 years,College degree,Woman,White,,,
25-34,Museum (<20 employees),Curator,,52000,NA,USD,,,United States,District of Columbia,"Washington, DC",8 - 10 years,8 - 10 years,Master's degree,Woman,White,,,
35-44,Computing or Tech,IT project Manager,,120000,10000,USD,,,United States ,Wisconsin,Madison,11 - 20 years,8 - 10 years,,Woman,White,,,
35-44,Engineering or Manufacturing,Civil Engineer ,,"65,520",0,USD,,,USA ,North Dakota,Grand Forks,11 - 20 years,2 - 4 years,College degree,Woman,White,,,
35-44,Education (Higher Education),Senior Grants Specialist,,"105,000",NA,USD,,,US,New York,New York,11 - 20 years,8 - 10 years,Master's degree,Woman,White,,,
55-64,Education (Higher Education),Chief Information Officer,,269000,0,USD,,,United States,California,Long Beach,31 - 40 years,21 - 30 years,PhD,Man,White,,,
35-44,Education (Higher Education),Instructor,Corporate Trainer,"120,000",6000,USD,,,USA,Maryland,Columbia,11 - 20 years,5-7 years,College degree,Man,White,,,
25-34,Nonprofits,Director of Development,,"90,000",NA,USD,,,USA,North Carolina,Charlotte,8 - 10 years,8 - 10 years,Master's degree,Woman,White,,,
25-34,Law,Lawyer / Public servant,In house as a government lawyer (Canada),"118,000",0,CAD,,,Canada,,Ottawa,8 - 10 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,"White, Another option not listed here or prefer not to answer",,,
25-34,Computing or Tech,Software Engineer,,"100,000",15000,USD,,I also get stock options which may or may not ever be worth anything.,U.S.A.,Massachusetts,Boston,2 - 4 years,2 - 4 years,College degree,Man,White,,,
45-54,Computing or Tech,Senior Principle Software Engineer ,,"226,000",10000,USD,,,United States,California,Santa Clara,21 - 30 years,21 - 30 years,College degree,Man,White,,,
35-44,Property or Construction,Controller,,"118,360",5000,USD,,,United States,Florida,Orlando,21 - 30 years,11 - 20 years,College degree,Woman,White,,,
